Keyword_ID,CPC,Keyword Difficulty,Competition
1,3.378648091,41.8379773,0.21626419
2,2.190559441,44.03846154,0.15965035
3,1.545521396,48.41607811,0.071391774
5,1.480102564,48.69230769,0.193692308
6,4.096810345,50.62975779,0.141327586
7,6.465505051,49.82491582,0.252441077
8,0.339194342,48.14268143,0.017779828
9,0.259542017,48.2210084,0.025596639
10,0.525314618,42.89738625,0.026882865
11,1.710831348,51.40900662,0.06642044
12,2.279351536,52.08105802,0.170972696
13,3.942028169,47.76338028,0.102478873
14,0.690789877,35.84279141,0.080398773
15,1.673077949,49.19659007,0.073249852
